word	frequency	category
clear	175	010-All or unspecified lines
among	175	010-All or unspecified lines
primarily	175	010-All or unspecified lines
transport	175	010-All or unspecified lines
theft	175	010-All or unspecified lines
bureau	175	010-All or unspecified lines
probation	175	010-All or unspecified lines
contrary	174	010-All or unspecified lines
agricultural	174	010-All or unspecified lines
juvenile	173	010-All or unspecified lines
software	173	010-All or unspecified lines
thereon	173	010-All or unspecified lines
attendance	173	010-All or unspecified lines
attend	173	010-All or unspecified lines
implementation	173	010-All or unspecified lines
delay	172	010-All or unspecified lines
trustee	172	010-All or unspecified lines
tuition	172	010-All or unspecified lines
liquor	172	010-All or unspecified lines
lieu	172	010-All or unspecified lines
definitions	171	010-All or unspecified lines
future	171	010-All or unspecified lines
cfss	171	010-All or unspecified lines
relating	170	010-All or unspecified lines
submission	170	010-All or unspecified lines
transact	169	010-All or unspecified lines
relationship	169	010-All or unspecified lines
succeed	169	010-All or unspecified lines
unauthorized	169	010-All or unspecified lines
jail	169	010-All or unspecified lines
scholarship	169	010-All or unspecified lines
witness	168	010-All or unspecified lines
bona	168	010-All or unspecified lines
cell	168	010-All or unspecified lines
representatives	168	010-All or unspecified lines
grade	168	010-All or unspecified lines
fish	168	010-All or unspecified lines
august	167	010-All or unspecified lines
demonstrate	167	010-All or unspecified lines
thecourt	167	010-All or unspecified lines
terminal	167	010-All or unspecified lines
valuation	166	010-All or unspecified lines
monitor	166	010-All or unspecified lines
anyother	166	010-All or unspecified lines
surrender	166	010-All or unspecified lines
index	165	010-All or unspecified lines
housing	165	010-All or unspecified lines
unpaid	165	010-All or unspecified lines
parentage	165	010-All or unspecified lines
consolidate	165	010-All or unspecified lines
background	165	010-All or unspecified lines
pertain	164	010-All or unspecified lines
aircraft	164	010-All or unspecified lines
hire	164	010-All or unspecified lines
arizona	164	010-All or unspecified lines
cease	163	010-All or unspecified lines
search	163	010-All or unspecified lines
conflict	163	010-All or unspecified lines
older	163	010-All or unspecified lines
industrial	163	010-All or unspecified lines
telecommunication	162	010-All or unspecified lines
beginning	162	010-All or unspecified lines
ability	162	010-All or unspecified lines
harm	162	010-All or unspecified lines
withdrawal	161	010-All or unspecified lines
apportion	161	010-All or unspecified lines
faith	161	010-All or unspecified lines
provided	161	010-All or unspecified lines
unitedstates	161	010-All or unspecified lines
improve	160	010-All or unspecified lines
question	160	010-All or unspecified lines
tennessee	159	010-All or unspecified lines
revenuecode	159	010-All or unspecified lines
animal	159	010-All or unspecified lines
potential	159	010-All or unspecified lines
classification	159	010-All or unspecified lines
major	159	010-All or unspecified lines
thetaxpayer	159	010-All or unspecified lines
analysis	159	010-All or unspecified lines
ofsuch	158	010-All or unspecified lines
affidavit	158	010-All or unspecified lines
thegeneral	158	010-All or unspecified lines
permanent	158	010-All or unspecified lines
road	158	010-All or unspecified lines
enrollment	157	010-All or unspecified lines
fide	157	010-All or unspecified lines
verify	157	010-All or unspecified lines
charter	157	010-All or unspecified lines
comprehensive	157	010-All or unspecified lines
room	156	010-All or unspecified lines
combination	156	010-All or unspecified lines
kind	156	010-All or unspecified lines
priority	156	010-All or unspecified lines
wine	156	010-All or unspecified lines
maybe	156	010-All or unspecified lines
ground	156	010-All or unspecified lines
secondary	156	010-All or unspecified lines
onthe	156	010-All or unspecified lines
reenact	155	010-All or unspecified lines
stat	155	010-All or unspecified lines
therefor	155	010-All or unspecified lines
travel	154	010-All or unspecified lines
ofany	154	010-All or unspecified lines
delete	154	010-All or unspecified lines
lawenforcement	154	010-All or unspecified lines
workforce	154	010-All or unspecified lines
subsidiary	154	010-All or unspecified lines
bodily	154	010-All or unspecified lines
cannot	154	010-All or unspecified lines
theunited	154	010-All or unspecified lines
undertake	154	010-All or unspecified lines
vacate	153	010-All or unspecified lines
experience	153	010-All or unspecified lines
subtraction	153	010-All or unspecified lines
rehabilitation	153	010-All or unspecified lines
electricity	153	010-All or unspecified lines
closure	153	010-All or unspecified lines
admission	152	010-All or unspecified lines
interstate	152	010-All or unspecified lines
scope	152	010-All or unspecified lines
orientation	152	010-All or unspecified lines
text	152	010-All or unspecified lines
tobe	151	010-All or unspecified lines
separately	150	010-All or unspecified lines
forfeiture	150	010-All or unspecified lines
qualification	150	010-All or unspecified lines
transferee	150	010-All or unspecified lines
skill	150	010-All or unspecified lines
american	149	010-All or unspecified lines
birth	149	010-All or unspecified lines
preparation	149	010-All or unspecified lines
forces	149	010-All or unspecified lines
pool	148	010-All or unspecified lines
therein	148	010-All or unspecified lines
prevention	148	010-All or unspecified lines
prescription	148	010-All or unspecified lines
auditor	148	010-All or unspecified lines
team	148	010-All or unspecified lines
andamendments	148	010-All or unspecified lines
broker	147	010-All or unspecified lines
longer	147	010-All or unspecified lines
assignment	147	010-All or unspecified lines
reflect	147	010-All or unspecified lines
april	146	010-All or unspecified lines
herein	146	010-All or unspecified lines
thelegislature	146	010-All or unspecified lines
expend	146	010-All or unspecified lines
withdraw	145	010-All or unspecified lines
tosection	145	010-All or unspecified lines
generally	145	010-All or unspecified lines
resale	145	010-All or unspecified lines
central	145	010-All or unspecified lines
properly	145	010-All or unspecified lines
corrections	145	010-All or unspecified lines
custodian	144	010-All or unspecified lines
arbitration	144	010-All or unspecified lines
invest	144	010-All or unspecified lines
gender	144	010-All or unspecified lines
deputy	144	010-All or unspecified lines
previous	143	010-All or unspecified lines
subtract	143	010-All or unspecified lines
raise	143	010-All or unspecified lines
neglect	142	010-All or unspecified lines
supplier	142	010-All or unspecified lines
correct	142	010-All or unspecified lines
entire	141	010-All or unspecified lines
battery	141	010-All or unspecified lines
proposal	141	010-All or unspecified lines
bylaw	141	010-All or unspecified lines
lawsuit	141	010-All or unspecified lines
retire	140	010-All or unspecified lines
jersey	140	010-All or unspecified lines
procurement	140	010-All or unspecified lines
exception	139	010-All or unspecified lines
claimant	139	010-All or unspecified lines
duration	139	010-All or unspecified lines
clarification	139	010-All or unspecified lines
waive	139	010-All or unspecified lines
rhode	139	010-All or unspecified lines
armed	139	010-All or unspecified lines
marry	138	010-All or unspecified lines
conservation	138	010-All or unspecified lines
underthe	138	010-All or unspecified lines
congress	138	010-All or unspecified lines
army	138	010-All or unspecified lines
fiduciary	137	010-All or unspecified lines
personalproperty	137	010-All or unspecified lines
minnesotastatutes	137	010-All or unspecified lines
deficiency	137	010-All or unspecified lines
assault	137	010-All or unspecified lines
week	137	010-All or unspecified lines
mandatory	137	010-All or unspecified lines
model	137	010-All or unspecified lines
facilitate	137	010-All or unspecified lines
shallnot	137	010-All or unspecified lines
morethan	137	010-All or unspecified lines
placement	136	010-All or unspecified lines
machine	136	010-All or unspecified lines
high	136	010-All or unspecified lines
mayor	136	010-All or unspecified lines
thisparagraph	136	010-All or unspecified lines
comparable	136	010-All or unspecified lines
insubsection	136	010-All or unspecified lines
actually	136	010-All or unspecified lines
railroad	136	010-All or unspecified lines
guarantee	136	010-All or unspecified lines
tenant	136	010-All or unspecified lines
landbased	135	010-All or unspecified lines
supervise	135	010-All or unspecified lines
navy	135	010-All or unspecified lines
lawful	135	010-All or unspecified lines
apportionment	135	010-All or unspecified lines
designation	135	010-All or unspecified lines
others	135	010-All or unspecified lines
violent	135	010-All or unspecified lines
medium	134	010-All or unspecified lines
theperson	134	010-All or unspecified lines
regularly	134	010-All or unspecified lines
digital	134	010-All or unspecified lines
weight	133	010-All or unspecified lines
peace	133	010-All or unspecified lines
container	133	010-All or unspecified lines
abandon	133	010-All or unspecified lines
supplemental	132	010-All or unspecified lines
long	132	010-All or unspecified lines
wage	132	010-All or unspecified lines
classify	132	010-All or unspecified lines
execution	132	010-All or unspecified lines
thecommonwealth	131	010-All or unspecified lines
annuity	131	010-All or unspecified lines
internet	131	010-All or unspecified lines
nurse	131	010-All or unspecified lines
twenty	131	010-All or unspecified lines
alter	131	010-All or unspecified lines
issuer	131	010-All or unspecified lines
teacher	130	010-All or unspecified lines
andinserting	130	010-All or unspecified lines
consume	130	010-All or unspecified lines
detail	129	010-All or unspecified lines
accident	129	010-All or unspecified lines
inwhich	129	010-All or unspecified lines
along	129	010-All or unspecified lines
duly	129	010-All or unspecified lines
admit	129	010-All or unspecified lines
restrict	129	010-All or unspecified lines
examine	128	010-All or unspecified lines
validity	128	010-All or unspecified lines
filing	128	010-All or unspecified lines
possible	128	010-All or unspecified lines
penal	127	010-All or unspecified lines
could	127	010-All or unspecified lines
aperson	127	010-All or unspecified lines
producer	127	010-All or unspecified lines
thissubdivision	127	010-All or unspecified lines
renew	127	010-All or unspecified lines
applicability	127	010-All or unspecified lines
population	127	010-All or unspecified lines
vii	127	010-All or unspecified lines
knowledge	126	010-All or unspecified lines
sub	126	010-All or unspecified lines
citizen	126	010-All or unspecified lines
transit	126	010-All or unspecified lines
chairman	126	010-All or unspecified lines
amendmentsthereto	126	010-All or unspecified lines
display	126	010-All or unspecified lines
seven	126	010-All or unspecified lines
elementary	126	010-All or unspecified lines
academic	125	010-All or unspecified lines
assessor	125	010-All or unspecified lines
thetaxable	125	010-All or unspecified lines
dwell	125	010-All or unspecified lines
difference	125	010-All or unspecified lines
wind	124	010-All or unspecified lines
restriction	124	010-All or unspecified lines
contribute	124	010-All or unspecified lines
divide	124	010-All or unspecified lines
youth	124	010-All or unspecified lines
parole	124	010-All or unspecified lines
departmentof	123	010-All or unspecified lines
burden	123	010-All or unspecified lines
corporations	123	010-All or unspecified lines
promptly	123	010-All or unspecified lines
publicly	123	010-All or unspecified lines
context	123	010-All or unspecified lines
borrower	122	010-All or unspecified lines
ishereby	122	010-All or unspecified lines
solicitation	122	010-All or unspecified lines
installment	122	010-All or unspecified lines
pension	122	010-All or unspecified lines
institute	122	010-All or unspecified lines
elderly	122	010-All or unspecified lines
alimony	122	010-All or unspecified lines
multiple	122	010-All or unspecified lines
default	121	010-All or unspecified lines
withrespect	121	010-All or unspecified lines
electric	121	010-All or unspecified lines
missouri	121	010-All or unspecified lines
investigate	121	010-All or unspecified lines
dispute	120	010-All or unspecified lines
clearly	120	010-All or unspecified lines
attach	120	010-All or unspecified lines
outstanding	120	010-All or unspecified lines
voluntary	120	010-All or unspecified lines
comment	120	010-All or unspecified lines
ship	119	010-All or unspecified lines
owners	119	010-All or unspecified lines
allocable	119	010-All or unspecified lines
even	119	010-All or unspecified lines
newspaper	119	010-All or unspecified lines
restrain	119	010-All or unspecified lines
fifteen	118	010-All or unspecified lines
occupy	118	010-All or unspecified lines
reimburse	118	010-All or unspecified lines
funds	118	010-All or unspecified lines
restoration	118	010-All or unspecified lines
buyer	118	010-All or unspecified lines
drive	118	010-All or unspecified lines
orincurred	118	010-All or unspecified lines
valorem	117	010-All or unspecified lines
limitedliability	117	010-All or unspecified lines
amendatory	117	010-All or unspecified lines
eleven	117	010-All or unspecified lines
bargain	117	010-All or unspecified lines
express	117	010-All or unspecified lines
donation	117	010-All or unspecified lines
size	117	010-All or unspecified lines
payroll	117	010-All or unspecified lines
prosecutor	117	010-All or unspecified lines
edge	117	010-All or unspecified lines
absence	116	010-All or unspecified lines
theboard	116	010-All or unspecified lines
existing	116	010-All or unspecified lines
liabilitycompany	116	010-All or unspecified lines
intro	116	010-All or unspecified lines
prohibition	116	010-All or unspecified lines
thedirector	116	010-All or unspecified lines
undersubsection	116	010-All or unspecified lines
therequirements	116	010-All or unspecified lines
thesame	116	010-All or unspecified lines
chairperson	115	010-All or unspecified lines
prisoner	115	010-All or unspecified lines
stand	115	010-All or unspecified lines
series	115	010-All or unspecified lines
ordinarily	115	010-All or unspecified lines
orthe	115	010-All or unspecified lines
andor	115	010-All or unspecified lines
color	115	010-All or unspecified lines
mark	115	010-All or unspecified lines
livestock	115	010-All or unspecified lines
survive	115	010-All or unspecified lines
solicit	115	010-All or unspecified lines
removal	115	010-All or unspecified lines
fill	115	010-All or unspecified lines
oral	115	010-All or unspecified lines
hazardous	115	010-All or unspecified lines
subpoena	114	010-All or unspecified lines
exclusion	114	010-All or unspecified lines
website	114	010-All or unspecified lines
obligors	114	010-All or unspecified lines
inquiry	114	010-All or unspecified lines
tribe	114	010-All or unspecified lines
trailer	114	010-All or unspecified lines
dakota	114	010-All or unspecified lines
developer	114	010-All or unspecified lines
category	114	010-All or unspecified lines
lottery	113	010-All or unspecified lines
goal	113	010-All or unspecified lines
willfully	113	010-All or unspecified lines
testimony	113	010-All or unspecified lines
provisionsof	113	010-All or unspecified lines
stay	113	010-All or unspecified lines
collateral	113	010-All or unspecified lines
advise	113	010-All or unspecified lines
sole	113	010-All or unspecified lines
eliminate	113	010-All or unspecified lines
distributor	113	010-All or unspecified lines
quarter	112	010-All or unspecified lines
alabama	112	010-All or unspecified lines
anindividual	112	010-All or unspecified lines
practitioner	112	010-All or unspecified lines
suit	112	010-All or unspecified lines
availability	112	010-All or unspecified lines
thing	112	010-All or unspecified lines
stateof	112	010-All or unspecified lines
alcohol	112	010-All or unspecified lines
marital	112	010-All or unspecified lines
arrears	112	010-All or unspecified lines
creation	111	010-All or unspecified lines
volunteer	111	010-All or unspecified lines
directors	111	010-All or unspecified lines
field	111	010-All or unspecified lines
opinion	111	010-All or unspecified lines
compensate	111	010-All or unspecified lines
november	111	010-All or unspecified lines
station	111	010-All or unspecified lines
amounts	111	010-All or unspecified lines
basic	111	010-All or unspecified lines
range	111	010-All or unspecified lines
jointly	111	010-All or unspecified lines
february	111	010-All or unspecified lines
instead	111	010-All or unspecified lines
gift	110	010-All or unspecified lines
aifa	110	010-All or unspecified lines
pollution	110	010-All or unspecified lines
advertise	110	010-All or unspecified lines
subjectto	110	010-All or unspecified lines
vendor	110	010-All or unspecified lines
enhance	109	010-All or unspecified lines
outofstate	109	010-All or unspecified lines
motorvehicle	109	010-All or unspecified lines
foot	109	010-All or unspecified lines
heat	109	010-All or unspecified lines
update	109	010-All or unspecified lines
fraudulent	109	010-All or unspecified lines
significant	109	010-All or unspecified lines
louisiana	109	010-All or unspecified lines
maltreatment	108	010-All or unspecified lines
superior	108	010-All or unspecified lines
protective	108	010-All or unspecified lines
lesser	108	010-All or unspecified lines
move	108	010-All or unspecified lines
means	108	010-All or unspecified lines
washington	108	010-All or unspecified lines
currently	108	010-All or unspecified lines
registry	108	010-All or unspecified lines
horse	108	010-All or unspecified lines
excise	108	010-All or unspecified lines
securities	108	010-All or unspecified lines
domestication	107	010-All or unspecified lines
disease	107	010-All or unspecified lines
direction	107	010-All or unspecified lines
interindemnity	107	010-All or unspecified lines
lessee	107	010-All or unspecified lines
intentionally	107	010-All or unspecified lines
safe	107	010-All or unspecified lines
representation	107	010-All or unspecified lines
twentyfive	107	010-All or unspecified lines
veteran	107	010-All or unspecified lines
conform	107	010-All or unspecified lines
region	107	010-All or unspecified lines
anyperson	107	010-All or unspecified lines
quarterly	107	010-All or unspecified lines
correctional	106	010-All or unspecified lines
successor	106	010-All or unspecified lines
enable	106	010-All or unspecified lines
minority	106	010-All or unspecified lines
orany	106	010-All or unspecified lines
discrimination	106	010-All or unspecified lines
policyholder	106	010-All or unspecified lines
objection	106	010-All or unspecified lines
solar	106	010-All or unspecified lines
passenger	105	010-All or unspecified lines
casino	105	010-All or unspecified lines
forpurposes	105	010-All or unspecified lines
atthe	105	010-All or unspecified lines
wager	105	010-All or unspecified lines
arm	105	010-All or unspecified lines
fully	104	010-All or unspecified lines
expression	104	010-All or unspecified lines
assume	104	010-All or unspecified lines
prove	104	010-All or unspecified lines
thetaxpayers	104	010-All or unspecified lines
expressly	104	010-All or unspecified lines
element	104	010-All or unspecified lines
evaluate	104	010-All or unspecified lines
instrumentality	104	010-All or unspecified lines
bysection	103	010-All or unspecified lines
supervisor	103	010-All or unspecified lines
adjudication	103	010-All or unspecified lines
licensure	103	010-All or unspecified lines
meal	103	010-All or unspecified lines
beyond	103	010-All or unspecified lines
cancel	103	010-All or unspecified lines
handle	103	010-All or unspecified lines
confer	103	010-All or unspecified lines
kentucky	103	010-All or unspecified lines
anamount	102	010-All or unspecified lines
gambling	102	010-All or unspecified lines
assert	102	010-All or unspecified lines
preclude	102	010-All or unspecified lines
rural	102	010-All or unspecified lines
cable	102	010-All or unspecified lines
commodity	102	010-All or unspecified lines
definedin	102	010-All or unspecified lines
network	102	010-All or unspecified lines
respectively	101	010-All or unspecified lines
wildlife	101	010-All or unspecified lines
instance	101	010-All or unspecified lines
supplement	101	010-All or unspecified lines
ofsubsection	101	010-All or unspecified lines
arbitral	101	010-All or unspecified lines
savings	101	010-All or unspecified lines
oath	101	010-All or unspecified lines
clean	101	010-All or unspecified lines
punishable	101	010-All or unspecified lines
shelter	101	010-All or unspecified lines
strategy	101	010-All or unspecified lines
domicile	101	010-All or unspecified lines
remediation	101	010-All or unspecified lines
bind	101	010-All or unspecified lines
serious	101	010-All or unspecified lines
prospective	101	010-All or unspecified lines
tothis	100	010-All or unspecified lines
gun	100	010-All or unspecified lines
threshold	100	010-All or unspecified lines
stop	100	010-All or unspecified lines
appearance	100	010-All or unspecified lines
expect	100	010-All or unspecified lines
thetax	100	010-All or unspecified lines
pass	100	010-All or unspecified lines
section	17326	060-Health insurance  or  insurers
health	10522	060-Health insurance  or  insurers
state	8955	060-Health insurance  or  insurers
service	8134	060-Health insurance  or  insurers
care	7745	060-Health insurance  or  insurers
provide	7296	060-Health insurance  or  insurers
may	6667	060-Health insurance  or  insurers
department	6042	060-Health insurance  or  insurers
act	5906	060-Health insurance  or  insurers
law	4836	060-Health insurance  or  insurers
person	4574	060-Health insurance  or  insurers
include	4571	060-Health insurance  or  insurers
fund	4497	060-Health insurance  or  insurers
program	4437	060-Health insurance  or  insurers
follow	4422	060-Health insurance  or  insurers
chapter	4289	060-Health insurance  or  insurers
plan	3997	060-Health insurance  or  insurers
amend	3770	060-Health insurance  or  insurers
license	3758	060-Health insurance  or  insurers
use	3675	060-Health insurance  or  insurers
board	3607	060-Health insurance  or  insurers
require	3357	060-Health insurance  or  insurers
pursuant	3356	060-Health insurance  or  insurers
subsection	3309	060-Health insurance  or  insurers
mean	3215	060-Health insurance  or  insurers
medical	3213	060-Health insurance  or  insurers
make	3037	060-Health insurance  or  insurers
code	2889	060-Health insurance  or  insurers
school	2849	060-Health insurance  or  insurers
provider	2842	060-Health insurance  or  insurers
read	2780	060-Health insurance  or  insurers
public	2747	060-Health insurance  or  insurers
amount	2708	060-Health insurance  or  insurers
subdivision	2679	060-Health insurance  or  insurers
individual	2628	060-Health insurance  or  insurers
drug	2611	060-Health insurance  or  insurers
order	2602	060-Health insurance  or  insurers
physician	2585	060-Health insurance  or  insurers
child	2579	060-Health insurance  or  insurers
agency	2576	060-Health insurance  or  insurers
facility	2514	060-Health insurance  or  insurers
provision	2506	060-Health insurance  or  insurers
benefit	2491	060-Health insurance  or  insurers
insurance	2489	060-Health insurance  or  insurers
information	2444	060-Health insurance  or  insurers
purpose	2415	060-Health insurance  or  insurers
date	2413	060-Health insurance  or  insurers
one	2370	060-Health insurance  or  insurers
treatment	2343	060-Health insurance  or  insurers
patient	2245	060-Health insurance  or  insurers
sec	2229	060-Health insurance  or  insurers
employee	2138	060-Health insurance  or  insurers
federal	2130	060-Health insurance  or  insurers
practice	2124	060-Health insurance  or  insurers
contract	2095	060-Health insurance  or  insurers
receive	2064	060-Health insurance  or  insurers
general	2037	060-Health insurance  or  insurers
issue	2009	060-Health insurance  or  insurers
payment	2003	060-Health insurance  or  insurers
establish	1960	060-Health insurance  or  insurers
determine	1924	060-Health insurance  or  insurers
paragraph	1899	060-Health insurance  or  insurers
authority	1886	060-Health insurance  or  insurers
part	1876	060-Health insurance  or  insurers
coverage	1875	060-Health insurance  or  insurers
fee	1868	060-Health insurance  or  insurers
report	1867	060-Health insurance  or  insurers
support	1854	060-Health insurance  or  insurers
new	1840	060-Health insurance  or  insurers
cost	1758	060-Health insurance  or  insurers
within	1744	060-Health insurance  or  insurers
nurse	1716	060-Health insurance  or  insurers
court	1716	060-Health insurance  or  insurers
policy	1715	060-Health insurance  or  insurers
day	1706	060-Health insurance  or  insurers
article	1699	060-Health insurance  or  insurers
apply	1665	060-Health insurance  or  insurers
office	1655	060-Health insurance  or  insurers
relate	1618	060-Health insurance  or  insurers
subject	1616	060-Health insurance  or  insurers
authorize	1614	060-Health insurance  or  insurers
upon	1590	060-Health insurance  or  insurers
education	1584	060-Health insurance  or  insurers
must	1549	060-Health insurance  or  insurers
member	1546	060-Health insurance  or  insurers
hospital	1545	060-Health insurance  or  insurers
effective	1543	060-Health insurance  or  insurers
director	1542	060-Health insurance  or  insurers
requirement	1534	060-Health insurance  or  insurers
rule	1534	060-Health insurance  or  insurers
pay	1533	060-Health insurance  or  insurers
period	1500	060-Health insurance  or  insurers
limit	1488	060-Health insurance  or  insurers
time	1479	060-Health insurance  or  insurers
services	1474	060-Health insurance  or  insurers
necessary	1459	060-Health insurance  or  insurers
term	1439	060-Health insurance  or  insurers
county	1423	060-Health insurance  or  insurers
define	1414	060-Health insurance  or  insurers
request	1407	060-Health insurance  or  insurers
family	1399	060-Health insurance  or  insurers
two	1393	060-Health insurance  or  insurers
grant	1389	060-Health insurance  or  insurers
district	1384	060-Health insurance  or  insurers
fiscal	1360	060-Health insurance  or  insurers
tax	1360	060-Health insurance  or  insurers
review	1355	060-Health insurance  or  insurers
procedure	1352	060-Health insurance  or  insurers
appropriate	1350	060-Health insurance  or  insurers
expense	1346	060-Health insurance  or  insurers
commissioner	1322	060-Health insurance  or  insurers
division	1321	060-Health insurance  or  insurers
year	1320	060-Health insurance  or  insurers
community	1267	060-Health insurance  or  insurers
assistance	1258	060-Health insurance  or  insurers
write	1256	060-Health insurance  or  insurers
july	1254	060-Health insurance  or  insurers
condition	1243	060-Health insurance  or  insurers
application	1239	060-Health insurance  or  insurers
hundred	1224	060-Health insurance  or  insurers
agreement	1214	060-Health insurance  or  insurers
organization	1214	060-Health insurance  or  insurers
regulation	1201	060-Health insurance  or  insurers
secretary	1197	060-Health insurance  or  insurers
record	1195	060-Health insurance  or  insurers
approve	1182	060-Health insurance  or  insurers
except	1178	060-Health insurance  or  insurers
home	1176	060-Health insurance  or  insurers
system	1167	060-Health insurance  or  insurers
accordance	1160	060-Health insurance  or  insurers
committee	1158	060-Health insurance  or  insurers
take	1148	060-Health insurance  or  insurers
describe	1147	060-Health insurance  or  insurers
group	1140	060-Health insurance  or  insurers
register	1131	060-Health insurance  or  insurers
entity	1130	060-Health insurance  or  insurers
dental	1127	060-Health insurance  or  insurers
specify	1127	060-Health insurance  or  insurers
thousand	1126	060-Health insurance  or  insurers
appropriation	1111	060-Health insurance  or  insurers
submit	1108	060-Health insurance  or  insurers
account	1108	060-Health insurance  or  insurers
add	1107	060-Health insurance  or  insurers
commission	1095	060-Health insurance  or  insurers
standard	1087	060-Health insurance  or  insurers
effect	1080	060-Health insurance  or  insurers
qualify	1076	060-Health insurance  or  insurers
local	1071	060-Health insurance  or  insurers
meet	1069	060-Health insurance  or  insurers
base	1063	060-Health insurance  or  insurers
title	1063	060-Health insurance  or  insurers
bill	1058	060-Health insurance  or  insurers
total	1055	060-Health insurance  or  insurers
version	1053	060-Health insurance  or  insurers
mental	1047	060-Health insurance  or  insurers
social	1041	060-Health insurance  or  insurers
january	1040	060-Health insurance  or  insurers
available	1039	060-Health insurance  or  insurers
ofthe	1034	060-Health insurance  or  insurers
insurer	1027	060-Health insurance  or  insurers
professional	1014	060-Health insurance  or  insurers
administration	1011	060-Health insurance  or  insurers
eligible	998	060-Health insurance  or  insurers
income	993	060-Health insurance  or  insurers
file	986	060-Health insurance  or  insurers
control	983	060-Health insurance  or  insurers
prescribe	975	060-Health insurance  or  insurers
would	958	060-Health insurance  or  insurers
development	957	060-Health insurance  or  insurers
transfer	957	060-Health insurance  or  insurers
cover	956	060-Health insurance  or  insurers
result	948	060-Health insurance  or  insurers
prior	945	060-Health insurance  or  insurers
need	937	060-Health insurance  or  insurers
set	935	060-Health insurance  or  insurers
otherwise	934	060-Health insurance  or  insurers
credit	929	060-Health insurance  or  insurers
applicant	929	060-Health insurance  or  insurers
dollar	926	060-Health insurance  or  insurers
certify	918	060-Health insurance  or  insurers
adopt	917	060-Health insurance  or  insurers
management	896	060-Health insurance  or  insurers
business	887	060-Health insurance  or  insurers
arkansas	886	060-Health insurance  or  insurers
assembly	876	060-Health insurance  or  insurers
percent	869	060-Health insurance  or  insurers
number	868	060-Health insurance  or  insurers
revenue	867	060-Health insurance  or  insurers
advance	866	060-Health insurance  or  insurers
notice	861	060-Health insurance  or  insurers
claim	856	060-Health insurance  or  insurers
corporation	853	060-Health insurance  or  insurers
case	853	060-Health insurance  or  insurers
substance	848	060-Health insurance  or  insurers
budget	846	060-Health insurance  or  insurers
hear	845	060-Health insurance  or  insurers
supervision	830	060-Health insurance  or  insurers
unless	823	060-Health insurance  or  insurers
certificate	819	060-Health insurance  or  insurers
conduct	814	060-Health insurance  or  insurers
disability	811	060-Health insurance  or  insurers
age	809	060-Health insurance  or  insurers
place	804	060-Health insurance  or  insurers
form	803	060-Health insurance  or  insurers
human	802	060-Health insurance  or  insurers
property	801	060-Health insurance  or  insurers
rcw	799	060-Health insurance  or  insurers
defendant	798	060-Health insurance  or  insurers
activity	789	060-Health insurance  or  insurers
administer	788	060-Health insurance  or  insurers
data	786	060-Health insurance  or  insurers
least	782	060-Health insurance  or  insurers
process	781	060-Health insurance  or  insurers
change	766	060-Health insurance  or  insurers
operate	763	060-Health insurance  or  insurers
designate	757	060-Health insurance  or  insurers
three	756	060-Health insurance  or  insurers
interest	755	060-Health insurance  or  insurers
action	755	060-Health insurance  or  insurers
test	748	060-Health insurance  or  insurers
prescription	746	060-Health insurance  or  insurers
emergency	745	060-Health insurance  or  insurers
exceed	745	060-Health insurance  or  insurers
medicaid	743	060-Health insurance  or  insurers
applicable	741	060-Health insurance  or  insurers
permit	741	060-Health insurance  or  insurers
center	740	060-Health insurance  or  insurers
participate	740	060-Health insurance  or  insurers
without	736	060-Health insurance  or  insurers
principal	732	060-Health insurance  or  insurers
financial	731	060-Health insurance  or  insurers
agent	723	060-Health insurance  or  insurers
technology	718	060-Health insurance  or  insurers
notwithstanding	716	060-Health insurance  or  insurers
serve	712	060-Health insurance  or  insurers
allow	709	060-Health insurance  or  insurers
maintenance	707	060-Health insurance  or  insurers
implement	702	060-Health insurance  or  insurers
officer	700	060-Health insurance  or  insurers
rate	698	060-Health insurance  or  insurers
whether	696	060-Health insurance  or  insurers
power	694	060-Health insurance  or  insurers
annual	691	060-Health insurance  or  insurers
product	687	060-Health insurance  or  insurers
party	685	060-Health insurance  or  insurers
develop	684	060-Health insurance  or  insurers
find	683	060-Health insurance  or  insurers
perform	682	060-Health insurance  or  insurers
security	680	060-Health insurance  or  insurers
safety	678	060-Health insurance  or  insurers
states	673	060-Health insurance  or  insurers
operating	672	060-Health insurance  or  insurers
device	671	060-Health insurance  or  insurers
practitioner	668	060-Health insurance  or  insurers
reimbursement	668	060-Health insurance  or  insurers
employer	668	060-Health insurance  or  insurers
examination	665	060-Health insurance  or  insurers
continue	665	060-Health insurance  or  insurers
indiana	661	060-Health insurance  or  insurers
respect	660	060-Health insurance  or  insurers
government	659	060-Health insurance  or  insurers
administrative	659	060-Health insurance  or  insurers
criminal	655	060-Health insurance  or  insurers
project	655	060-Health insurance  or  insurers
iii	653	060-Health insurance  or  insurers
list	648	060-Health insurance  or  insurers
introduced	646	060-Health insurance  or  insurers
charge	644	060-Health insurance  or  insurers
parent	641	060-Health insurance  or  insurers
month	636	060-Health insurance  or  insurers
create	636	060-Health insurance  or  insurers
trust	635	060-Health insurance  or  insurers
unit	634	060-Health insurance  or  insurers
right	634	060-Health insurance  or  insurers
maintain	630	060-Health insurance  or  insurers
begin	627	060-Health insurance  or  insurers
duty	624	060-Health insurance  or  insurers
another	622	060-Health insurance  or  insurers
additional	622	060-Health insurance  or  insurers
